team_name,gameweek,points
Naby Lad,1,100
Naby Lad,2,83
Naby Lad,3,62
Naby Lad,4,67
Naby Lad,5,68
Naby Lad,6,51
Naby Lad,7,59
Naby Lad,8,67
Naby Lad,9,114
Naby Lad,10,59
Naby Lad,11,63
Naby Lad,12,80
Naby Lad,13,62
Naby Lad,14,62
Naby Lad,15,42
Naby Lad,16,68
Naby Lad,17,80
Naby Lad,18,55
Naby Lad,19,70
Naby Lad,20,50
Naby Lad,21,80
Naby Lad,22,50
Naby Lad,23,39
Naby Lad,24,73
Naby Lad,25,81
Naby Lad,26,128
Naby Lad,27,42
Naby Lad,28,64
Naby Lad,29,90
Naby Lad,30,65
Naby Lad,31,43
Naby Lad,32,62
Naby Lad,33,87
Naby Lad,34,61
Naby Lad,35,37
Naby Lad,36,123
Naby Lad,37,103
Naby Lad,38,67
No Scott's allowed,1,111
No Scott's allowed,2,88
No Scott's allowed,3,70
No Scott's allowed,4,71
No Scott's allowed,5,63
No Scott's allowed,6,36
No Scott's allowed,7,43
No Scott's allowed,8,61
No Scott's allowed,9,82
No Scott's allowed,10,52
No Scott's allowed,11,63
No Scott's allowed,12,75
No Scott's allowed,13,68
No Scott's allowed,14,56
No Scott's allowed,15,43
No Scott's allowed,16,80
No Scott's allowed,17,79
No Scott's allowed,18,50
No Scott's allowed,19,24
No Scott's allowed,20,40
No Scott's allowed,21,75
No Scott's allowed,22,62
No Scott's allowed,23,30
No Scott's allowed,24,72
No Scott's allowed,25,70
No Scott's allowed,26,140
No Scott's allowed,27,51
No Scott's allowed,28,60
No Scott's allowed,29,95
No Scott's allowed,30,58
No Scott's allowed,31,54
No Scott's allowed,32,63
No Scott's allowed,33,77
No Scott's allowed,34,75
No Scott's allowed,35,38
No Scott's allowed,36,172
No Scott's allowed,37,35
No Scott's allowed,38,61
Feed The Ox,1,87
Feed The Ox,2,74
Feed The Ox,3,66
Feed The Ox,4,63
Feed The Ox,5,77
Feed The Ox,6,55
Feed The Ox,7,50
Feed The Ox,8,48
Feed The Ox,9,109
Feed The Ox,10,46
Feed The Ox,11,66
Feed The Ox,12,46
Feed The Ox,13,61
Feed The Ox,14,71
Feed The Ox,15,47
Feed The Ox,16,58
Feed The Ox,17,75
Feed The Ox,18,58
Feed The Ox,19,40
Feed The Ox,20,41
Feed The Ox,21,78
Feed The Ox,22,45
Feed The Ox,23,37
Feed The Ox,24,93
Feed The Ox,25,64
Feed The Ox,26,133
Feed The Ox,27,44
Feed The Ox,28,75
Feed The Ox,29,80
Feed The Ox,30,49
Feed The Ox,31,36
Feed The Ox,32,52
Feed The Ox,33,75
Feed The Ox,34,61
Feed The Ox,35,39
Feed The Ox,36,92
Feed The Ox,37,62
Feed The Ox,38,56
La Furia Roja,1,94
La Furia Roja,2,67
La Furia Roja,3,67
La Furia Roja,4,72
La Furia Roja,5,64
La Furia Roja,6,48
La Furia Roja,7,42
La Furia Roja,8,51
La Furia Roja,9,90
La Furia Roja,10,63
La Furia Roja,11,59
La Furia Roja,12,83
La Furia Roja,13,49
La Furia Roja,14,60
La Furia Roja,15,43
La Furia Roja,16,60
La Furia Roja,17,64
La Furia Roja,18,57
La Furia Roja,19,72
La Furia Roja,20,38
La Furia Roja,21,65
La Furia Roja,22,62
La Furia Roja,23,42
La Furia Roja,24,63
La Furia Roja,25,63
La Furia Roja,26,107
La Furia Roja,27,61
La Furia Roja,28,121
La Furia Roja,29,93
La Furia Roja,30,15
La Furia Roja,31,45
La Furia Roja,32,18
La Furia Roja,33,70
La Furia Roja,34,67
La Furia Roja,35,47
La Furia Roja,36,75
La Furia Roja,37,75
La Furia Roja,38,65
Change Name,1,72
Change Name,2,40
Change Name,3,69
Change Name,4,48
Change Name,5,64
Change Name,6,52
Change Name,7,60
Change Name,8,57
Change Name,9,82
Change Name,10,42
Change Name,11,53
Change Name,12,63
Change Name,13,81
Change Name,14,79
Change Name,15,41
Change Name,16,34
Change Name,17,35
Change Name,18,69
Change Name,19,40
Change Name,20,36
Change Name,21,52
Change Name,22,52
Change Name,23,34
Change Name,24,60
Change Name,25,64
Change Name,26,67
Change Name,27,49
Change Name,28,74
Change Name,29,86
Change Name,30,47
Change Name,31,81
Change Name,32,69
Change Name,33,46
Change Name,34,41
Change Name,35,88
Change Name,36,168
Change Name,37,94
Change Name,38,58
Ronarid Rovers,1,101
Ronarid Rovers,2,76
Ronarid Rovers,3,56
Ronarid Rovers,4,52
Ronarid Rovers,5,56
Ronarid Rovers,6,43
Ronarid Rovers,7,51
Ronarid Rovers,8,62
Ronarid Rovers,9,38
Ronarid Rovers,10,88
Ronarid Rovers,11,55
Ronarid Rovers,12,67
Ronarid Rovers,13,54
Ronarid Rovers,14,72
Ronarid Rovers,15,56
Ronarid Rovers,16,58
Ronarid Rovers,17,88
Ronarid Rovers,18,55
Ronarid Rovers,19,49
Ronarid Rovers,20,35
Ronarid Rovers,21,67
Ronarid Rovers,22,53
Ronarid Rovers,23,49
Ronarid Rovers,24,78
Ronarid Rovers,25,24
Ronarid Rovers,26,140
Ronarid Rovers,27,52
Ronarid Rovers,28,88
Ronarid Rovers,29,87
Ronarid Rovers,30,27
Ronarid Rovers,31,35
Ronarid Rovers,32,45
Ronarid Rovers,33,45
Ronarid Rovers,34,49
Ronarid Rovers,35,46
Ronarid Rovers,36,81
Ronarid Rovers,37,43
Ronarid Rovers,38,70
Toms Lot,1,62
Toms Lot,2,65
Toms Lot,3,68
Toms Lot,4,71
Toms Lot,5,67
Toms Lot,6,56
Toms Lot,7,40
Toms Lot,8,47
Toms Lot,9,84
Toms Lot,10,37
Toms Lot,11,61
Toms Lot,12,59
Toms Lot,13,49
Toms Lot,14,64
Toms Lot,15,44
Toms Lot,16,68
Toms Lot,17,55
Toms Lot,18,60
Toms Lot,19,38
Toms Lot,20,47
Toms Lot,21,34
Toms Lot,22,48
Toms Lot,23,50
Toms Lot,24,89
Toms Lot,25,36
Toms Lot,26,132
Toms Lot,27,71
Toms Lot,28,120
Toms Lot,29,83
Toms Lot,30,76
Toms Lot,31,34
Toms Lot,32,31
Toms Lot,33,81
Toms Lot,34,59
Toms Lot,35,31
Toms Lot,36,63
Toms Lot,37,37
Toms Lot,38,69
The No Scott's Club,1,74
The No Scott's Club,2,48
The No Scott's Club,3,69
The No Scott's Club,4,82
The No Scott's Club,5,51
The No Scott's Club,6,61
The No Scott's Club,7,37
The No Scott's Club,8,60
The No Scott's Club,9,73
The No Scott's Club,10,71
The No Scott's Club,11,62
The No Scott's Club,12,63
The No Scott's Club,13,41
The No Scott's Club,14,78
The No Scott's Club,15,48
The No Scott's Club,16,48
The No Scott's Club,17,41
The No Scott's Club,18,57
The No Scott's Club,19,45
The No Scott's Club,20,43
The No Scott's Club,21,86
The No Scott's Club,22,83
The No Scott's Club,23,47
The No Scott's Club,24,69
The No Scott's Club,25,49
The No Scott's Club,26,109
The No Scott's Club,27,43
The No Scott's Club,28,69
The No Scott's Club,29,78
The No Scott's Club,30,2
The No Scott's Club,31,62
The No Scott's Club,32,73
The No Scott's Club,33,64
The No Scott's Club,34,67
The No Scott's Club,35,31
The No Scott's Club,36,86
The No Scott's Club,37,39
The No Scott's Club,38,55
Ace,1,59
Ace,2,51
Ace,3,69
Ace,4,55
Ace,5,73
Ace,6,67
Ace,7,43
Ace,8,59
Ace,9,92
Ace,10,35
Ace,11,47
Ace,12,59
Ace,13,57
Ace,14,54
Ace,15,54
Ace,16,66
Ace,17,43
Ace,18,53
Ace,19,29
Ace,20,38
Ace,21,68
Ace,22,39
Ace,23,31
Ace,24,51
Ace,25,63
Ace,26,117
Ace,27,42
Ace,28,63
Ace,29,111
Ace,30,18
Ace,31,31
Ace,32,29
Ace,33,56
Ace,34,60
Ace,35,57
Ace,36,95
Ace,37,58
Ace,38,51
Mbappeé ba du dop,1,82
Mbappeé ba du dop,2,38
Mbappeé ba du dop,3,49
Mbappeé ba du dop,4,67
Mbappeé ba du dop,5,62
Mbappeé ba du dop,6,53
Mbappeé ba du dop,7,37
Mbappeé ba du dop,8,56
Mbappeé ba du dop,9,70
Mbappeé ba du dop,10,31
Mbappeé ba du dop,11,52
Mbappeé ba du dop,12,66
Mbappeé ba du dop,13,59
Mbappeé ba du dop,14,56
Mbappeé ba du dop,15,49
Mbappeé ba du dop,16,74
Mbappeé ba du dop,17,56
Mbappeé ba du dop,18,33
Mbappeé ba du dop,19,32
Mbappeé ba du dop,20,34
Mbappeé ba du dop,21,34
Mbappeé ba du dop,22,48
Mbappeé ba du dop,23,42
Mbappeé ba du dop,24,49
Mbappeé ba du dop,25,45
Mbappeé ba du dop,26,115
Mbappeé ba du dop,27,37
Mbappeé ba du dop,28,53
Mbappeé ba du dop,29,92
Mbappeé ba du dop,30,53
Mbappeé ba du dop,31,50
Mbappeé ba du dop,32,67
Mbappeé ba du dop,33,67
Mbappeé ba du dop,34,58
Mbappeé ba du dop,35,60
Mbappeé ba du dop,36,87
Mbappeé ba du dop,37,33
Mbappeé ba du dop,38,73
DownGunnderFC,1,32
DownGunnderFC,2,61
DownGunnderFC,3,41
DownGunnderFC,4,49
DownGunnderFC,5,70
DownGunnderFC,6,54
DownGunnderFC,7,33
DownGunnderFC,8,30
DownGunnderFC,9,65
DownGunnderFC,10,18
DownGunnderFC,11,39
DownGunnderFC,12,49
DownGunnderFC,13,52
DownGunnderFC,14,32
DownGunnderFC,15,34
DownGunnderFC,16,58
DownGunnderFC,17,45
DownGunnderFC,18,33
DownGunnderFC,19,23
DownGunnderFC,20,27
DownGunnderFC,21,41
DownGunnderFC,22,37
DownGunnderFC,23,39
DownGunnderFC,24,54
DownGunnderFC,25,42
DownGunnderFC,26,37
DownGunnderFC,27,33
DownGunnderFC,28,38
DownGunnderFC,29,90
DownGunnderFC,30,16
DownGunnderFC,31,56
DownGunnderFC,32,45
DownGunnderFC,33,71
DownGunnderFC,34,82
DownGunnderFC,35,45
DownGunnderFC,36,76
DownGunnderFC,37,46
DownGunnderFC,38,18
The Johnsons,1,47
The Johnsons,2,56
The Johnsons,3,48
The Johnsons,4,49
The Johnsons,5,36
The Johnsons,6,53
The Johnsons,7,42
The Johnsons,8,33
The Johnsons,9,48
The Johnsons,10,41
The Johnsons,11,32
The Johnsons,12,53
The Johnsons,13,52
The Johnsons,14,45
The Johnsons,15,41
The Johnsons,16,21
The Johnsons,17,23
The Johnsons,18,25
The Johnsons,19,43
The Johnsons,20,40
The Johnsons,21,48
The Johnsons,22,45
The Johnsons,23,23
The Johnsons,24,42
The Johnsons,25,33
The Johnsons,26,40
The Johnsons,27,55
The Johnsons,28,51
The Johnsons,29,58
The Johnsons,30,31
The Johnsons,31,50
The Johnsons,32,58
The Johnsons,33,34
The Johnsons,34,30
The Johnsons,35,44
The Johnsons,36,107
The Johnsons,37,66
The Johnsons,38,62
Beaconsfield United,1,33
Beaconsfield United,2,46
Beaconsfield United,3,68
Beaconsfield United,4,42
Beaconsfield United,5,49
Beaconsfield United,6,48
Beaconsfield United,7,35
Beaconsfield United,8,56
Beaconsfield United,9,41
Beaconsfield United,10,19
Beaconsfield United,11,49
Beaconsfield United,12,62
Beaconsfield United,13,45
Beaconsfield United,14,34
Beaconsfield United,15,51
Beaconsfield United,16,50
Beaconsfield United,17,52
Beaconsfield United,18,44
Beaconsfield United,19,18
Beaconsfield United,20,40
Beaconsfield United,21,37
Beaconsfield United,22,50
Beaconsfield United,23,30
Beaconsfield United,24,41
Beaconsfield United,25,26
Beaconsfield United,26,28
Beaconsfield United,27,21
Beaconsfield United,28,56
Beaconsfield United,29,54
Beaconsfield United,30,4
Beaconsfield United,31,50
Beaconsfield United,32,64
Beaconsfield United,33,47
Beaconsfield United,34,59
Beaconsfield United,35,34
Beaconsfield United,36,64
Beaconsfield United,37,32
Beaconsfield United,38,39
Dixonsquared,1,61
Dixonsquared,2,29
Dixonsquared,3,37
Dixonsquared,4,41
Dixonsquared,5,40
Dixonsquared,6,32
Dixonsquared,7,58
Dixonsquared,8,50
Dixonsquared,9,18
Dixonsquared,10,50
Dixonsquared,11,35
Dixonsquared,12,29
Dixonsquared,13,30
Dixonsquared,14,56
Dixonsquared,15,37
Dixonsquared,16,35
Dixonsquared,17,18
Dixonsquared,18,30
Dixonsquared,19,34
Dixonsquared,20,30
Dixonsquared,21,27
Dixonsquared,22,67
Dixonsquared,23,29
Dixonsquared,24,31
Dixonsquared,25,36
Dixonsquared,26,73
Dixonsquared,27,49
Dixonsquared,28,45
Dixonsquared,29,52
Dixonsquared,30,62
Dixonsquared,31,42
Dixonsquared,32,60
Dixonsquared,33,51
Dixonsquared,34,25
Dixonsquared,35,64
Dixonsquared,36,47
Dixonsquared,37,25
Dixonsquared,38,42
